Document_No,Line_No,Item Code,Description,Quantity (Clean),Unit_Price,Line_Discount_Percent,Line_Amount,Net_Amount_Excl_VAT,Posting_Date,Total_Amount_Excl_VAT,Total_VAT_Amount,Total_Amount_Incl_VAT,GST (%),Exchange rate,Sales_Channel,Returns_Refunds,Promo_Flag,Customer_ID
DOC000510,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.43,10,2.86,2.57,2024-12-19,2.57,0.18,2.75,7%,1.0,Lazada,0,Y,CUST0107
DOC000511,1,CAM-C-S-1KG,Satay Cashews 1kg,5,27.68,15,138.4,117.64,2023-02-22,117.64,8.23,125.87,7%,1.0,Shopee,0,Y,CUST0040
DOC000512,1,CAM-C-R-135G,Roasted Cashews,2,4.87,14,9.74,8.38,2024-04-29,8.38,0.59,8.97,7%,1.0,Shopee,0,Y,CUST0158
DOC000513,1,CAM-A-H-135G,Honey Almonds,1,5.64,11,5.64,5.02,2023-03-08,5.02,0.35,5.37,7%,1.0,Shopee,0,Y,CUST0139
DOC000514,1,CAM-BG&-WP-135G,Green Peas Wasabi,3,2.09,1,6.27,6.21,2024-04-22,6.21,0.43,6.64,7%,1.0,Shopify,0,N,CUST0096
DOC000515,1,CAM-A-H-36G,Honey Almonds Mini 36g,5,1.63,2,8.15,7.99,2023-03-25,7.99,0.56,8.55,7%,1.0,Shopify,0,N,CUST0187
DOC000516,1,CAM-C-R-135G,Roasted Cashews,5,4.86,8,24.3,22.36,2024-12-06,22.36,1.57,23.93,7%,1.0,Lazada,0,N,CUST0077
DOC000517,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,4,5.19,12,20.76,18.27,2024-11-22,18.27,1.28,19.55,7%,1.0,Shopee,0,Y,CUST0107
DOC000518,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,2,5.79,12,11.58,10.19,2024-12-24,10.19,0.71,10.9,7%,1.0,Shopee,0,Y,CUST0199
DOC000519,1,CAM-MN-CM-135G,Natural Cocktail Mix,3,5.64,0,16.92,16.92,2024-11-05,16.92,1.18,18.1,7%,1.0,Shopify,0,N,CUST0187
DOC000520,1,CAM-MN-CM-135G,Natural Cocktail Mix,4,5.11,8,20.44,18.8,2023-11-09,18.8,1.32,20.12,7%,1.0,Lazada,0,N,CUST0034
DOC000521,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,1,28.47,15,28.47,24.2,2023-12-16,24.2,1.69,25.89,7%,1.0,Shopee,0,Y,CUST0140
DOC000522,1,CAM-A-H-135G,Honey Almonds,1,4.9,13,4.9,4.26,2023-09-13,4.26,0.3,4.56,7%,1.0,Shopee,0,Y,CUST0082
DOC000523,1,CAM-C-NB-135G,Natural Baked Cashews,2,5.03,5,10.06,9.56,2023-12-28,9.56,0.67,10.23,7%,1.0,Shopify,0,N,CUST0162
DOC000524,1,CAM-P-C-135G,Cracker Peanuts,2,1.73,5,3.46,3.29,2023-06-17,3.29,0.23,3.52,7%,1.0,Lazada,0,N,CUST0130
DOC000525,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,4,5.64,7,22.56,20.98,2024-12-13,20.98,1.47,22.45,7%,1.0,Lazada,0,N,CUST0031
DOC000526,1,CAM-MN-FM-135G,Fancy Mixed Nuts,2,5.34,12,10.68,9.4,2023-11-24,9.4,0.66,10.06,7%,1.0,Shopee,0,Y,CUST0053
DOC000527,1,CAM-P-B-400G,Baked Pistachios 400g,6,9.88,10,59.28,53.35,2023-10-03,53.35,3.73,57.08,7%,1.0,Shopee,0,Y,CUST0119
DOC000528,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.55,12,3.1,2.73,2024-12-02,2.73,0.19,2.92,7%,1.0,Shopee,0,Y,CUST0167
DOC000529,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,5.84,12,5.84,5.14,2023-10-14,5.14,0.36,5.5,7%,1.0,Shopee,0,Y,CUST0105
DOC000530,1,CAM-A-H-135G,Honey Almonds,4,4.97,9,19.88,18.09,2023-11-26,18.09,1.27,19.36,7%,1.0,Lazada,0,N,CUST0063
DOC000531,1,CAM-NB-WB-350G,Camel Organic Walnut Butter,2,10.39,10,20.78,18.7,2024-02-29,18.7,1.31,20.01,7%,1.0,Lazada,0,Y,CUST0017
DOC000532,1,CAM-BG&-WP-135G,Green Peas Wasabi,3,2.41,10,7.23,6.51,2024-06-04,6.51,0.46,6.97,7%,1.0,Shopee,0,Y,CUST0160
DOC000533,1,CAM-NB-AB-350G,Camel Organic Almond Butter,1,10.58,15,10.58,8.99,2023-11-28,8.99,0.63,9.62,7%,1.0,Shopee,1,Y,CUST0113
DOC000534,1,CAM-A-H-135G,Honey Almonds,12,5.32,14,63.84,54.9,2023-05-27,54.9,3.84,58.74,7%,1.0,Shopee,0,Y,CUST0183
DOC000535,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,3,25.83,5,77.49,73.62,2024-02-26,73.62,5.15,78.77,7%,1.0,Lazada,0,N,CUST0164
DOC000536,1,CAM-A-S-1KG,Smoked Almonds 1kg,6,20.46,13,122.76,106.8,2023-04-09,106.8,7.48,114.28,7%,1.0,Shopee,0,Y,CUST0109
DOC000537,1,CAM-A-H-135G,Honey Almonds,2,4.7,6,9.4,8.84,2024-02-25,8.84,0.62,9.46,7%,1.0,Lazada,0,N,CUST0006
DOC000538,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.38,13,2.76,2.4,2024-03-13,2.4,0.17,2.57,7%,1.0,Shopee,0,Y,CUST0072
DOC000539,1,CAM-A-S-135G,Smoked Almonds,8,5.79,11,46.32,41.22,2024-03-10,41.22,2.89,44.11,7%,1.0,Shopee,0,Y,CUST0031
DOC000540,1,CAM-C-R-1KG,Roasted Cashews 1kg,6,27.9,14,167.4,143.96,2023-10-18,143.96,10.08,154.04,7%,1.0,Shopee,0,Y,CUST0129
DOC000541,1,CAM-MN-FM-135G,Fancy Mixed Nuts,7,5.44,2,38.08,37.32,2023-11-14,37.32,2.61,39.93,7%,1.0,Shopify,0,N,CUST0091
DOC000542,1,CAM-P-B-1KG,Baked Pistachios 1kg,2,25.69,13,51.38,44.7,2023-07-28,44.7,3.13,47.83,7%,1.0,Shopee,0,Y,CUST0090
DOC000543,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,26.95,2,53.9,52.82,2024-08-20,52.82,3.7,56.52,7%,1.0,Shopify,0,N,CUST0026
DOC000544,1,CAM-C-NB-135G,Natural Baked Cashews,5,4.86,10,24.3,21.87,2024-05-20,21.87,1.53,23.4,7%,1.0,Lazada,0,Y,CUST0078
DOC000545,1,CAM-P-S-135G,Sugar Peanuts,2,1.64,10,3.28,2.95,2024-04-27,2.95,0.21,3.16,7%,1.0,Shopee,0,Y,CUST0157
DOC000546,1,CAM-MN-FM-135G,Fancy Mixed Nuts,3,5.05,5,15.15,14.39,2024-12-18,14.39,1.01,15.4,7%,1.0,Shopify,0,N,CUST0022
DOC000547,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,4,28.71,7,114.84,106.8,2024-11-09,106.8,7.48,114.28,7%,1.0,Lazada,0,N,CUST0129
DOC000548,1,CAM-MN-CM-135G,Natural Cocktail Mix,3,4.92,0,14.76,14.76,2023-11-29,14.76,1.03,15.79,7%,1.0,Shopify,0,N,CUST0019
DOC000549,1,CAM-C-R-1KG,Roasted Cashews 1kg,1,29.28,10,29.28,26.35,2024-07-16,26.35,1.84,28.19,7%,1.0,Lazada,0,Y,CUST0197
DOC000550,1,CAM-A-H-36G,Honey Almonds Mini 36g,6,1.65,4,9.9,9.5,2024-03-14,9.5,0.67,10.17,7%,1.0,Shopify,0,N,CUST0196
DOC000551,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,1,27.39,14,27.39,23.56,2024-01-18,23.56,1.65,25.21,7%,1.0,Shopee,0,Y,CUST0056
DOC000552,1,CAM-C-NB-135G,Natural Baked Cashews,3,4.71,1,14.13,13.99,2023-03-12,13.99,0.98,14.97,7%,1.0,Shopify,0,N,CUST0193
DOC000553,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,4.87,10,4.87,4.38,2023-12-29,4.38,0.31,4.69,7%,1.0,Shopee,0,Y,CUST0008
DOC000554,1,CAM-C-NB-135G,Natural Baked Cashews,2,4.75,7,9.5,8.83,2023-05-22,8.83,0.62,9.45,7%,1.0,Lazada,0,N,CUST0007
DOC000555,1,CAM-C-NB-135G,Natural Baked Cashews,3,5.03,15,15.09,12.83,2024-09-07,12.83,0.9,13.73,7%,1.0,Shopee,0,Y,CUST0084
DOC000556,1,CAM-A-H-135G,Honey Almonds,2,5.47,9,10.94,9.96,2024-06-17,9.96,0.7,10.66,7%,1.0,Lazada,0,N,CUST0001
DOC000557,1,CAM-C-H-135G,Honey Cashews,3,5.39,10,16.17,14.55,2023-04-17,14.55,1.02,15.57,7%,1.0,Shopee,1,Y,CUST0017
DOC000558,1,CAM-C-H-135G,Honey Cashews,2,5.07,12,10.14,8.92,2023-02-11,8.92,0.62,9.54,7%,1.0,Shopee,0,Y,CUST0166
DOC000559,1,CAM-P-B-1KG,Baked Pistachios 1kg,2,27.77,14,55.54,47.76,2023-02-20,47.76,3.34,51.1,7%,1.0,Shopee,0,Y,CUST0064
DOC000560,1,CAM-P-S-135G,Sugar Peanuts,3,1.56,8,4.68,4.31,2024-08-15,4.31,0.3,4.61,7%,1.0,Lazada,0,N,CUST0123
DOC000561,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,4.97,13,4.97,4.32,2024-12-05,4.32,0.3,4.62,7%,1.0,Lazada,0,Y,CUST0145
DOC000562,1,CAM-MN-BD-135G,Natural Nutty Berries Delight,2,5.75,6,11.5,10.81,2023-08-21,10.81,0.76,11.57,7%,1.0,Lazada,0,N,CUST0189
DOC000563,1,CAM-C-R-135G,Roasted Cashews,4,4.83,10,19.32,17.39,2023-02-20,17.39,1.22,18.61,7%,1.0,Lazada,1,Y,CUST0083
DOC000564,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,25.45,1,50.9,50.39,2024-05-12,50.39,3.53,53.92,7%,1.0,Shopify,0,N,CUST0175
DOC000565,1,CAM-C-R-135G,Roasted Cashews,3,4.52,10,13.56,12.2,2024-01-11,12.2,0.85,13.05,7%,1.0,Lazada,0,Y,CUST0013
DOC000566,1,CAM-A-BS-1KG,Almonds Blanched Sliced 1kg,1,20.88,9,20.88,19.0,2024-02-19,19.0,1.33,20.33,7%,1.0,Lazada,0,N,CUST0093
DOC000567,1,CAM-C-NB-135G,Natural Baked Cashews,8,4.97,14,39.76,34.19,2024-01-02,34.19,2.39,36.58,7%,1.0,Shopee,0,Y,CUST0137
DOC000568,1,CAM-C-NB-135G,Natural Baked Cashews,6,4.71,9,28.26,25.72,2024-09-08,25.72,1.8,27.52,7%,1.0,Lazada,0,N,CUST0104
DOC000569,1,CAM-C-R-1KG,Roasted Cashews 1kg,3,29.15,15,87.45,74.33,2024-02-09,74.33,5.2,79.53,7%,1.0,Shopee,0,Y,CUST0014
DOC000570,1,CAM-C-NB-135G,Natural Baked Cashews,3,4.88,5,14.64,13.91,2024-09-01,13.91,0.97,14.88,7%,1.0,Lazada,0,N,CUST0149
DOC000571,1,CAM-NB-WB-350G,Camel Organic Walnut Butter,3,9.96,7,29.88,27.79,2024-03-27,27.79,1.95,29.74,7%,1.0,Lazada,0,N,CUST0058
DOC000572,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,29.38,12,58.76,51.71,2024-04-21,51.71,3.62,55.33,7%,1.0,Shopee,0,Y,CUST0055
DOC000573,1,CAM-DF&-M-200G,Dried Mango,3,4.57,8,13.71,12.61,2024-06-13,12.61,0.88,13.49,7%,1.0,Lazada,0,N,CUST0034
DOC000574,1,CAM-P-B-400G,Baked Pistachios 400g,7,9.8,14,68.6,59.0,2024-02-06,59.0,4.13,63.13,7%,1.0,Shopee,0,Y,CUST0112
DOC000575,1,CAM-A-BS-1KG,Almonds Blanched Sliced 1kg,2,24.2,13,48.4,42.11,2023-10-25,42.11,2.95,45.06,7%,1.0,Shopee,0,Y,CUST0177
DOC000576,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,2,5.28,9,10.56,9.61,2023-11-14,9.61,0.67,10.28,7%,1.0,Lazada,0,N,CUST0059
DOC000577,1,CAM-A-H-36G,Honey Almonds Mini 36g,5,1.37,13,6.85,5.96,2023-01-11,5.96,0.42,6.38,7%,1.0,Shopee,0,Y,CUST0059
DOC000578,1,CAM-DF&-C-200G,Dried Cranberries,3,5.21,14,15.63,13.44,2023-01-18,13.44,0.94,14.38,7%,1.0,Lazada,0,Y,CUST0038
DOC000579,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,1,4.91,12,4.91,4.32,2023-12-16,4.32,0.3,4.62,7%,1.0,Lazada,1,Y,CUST0096
DOC000580,1,CAM-A-H-36G,Honey Almonds Mini 36g,6,1.54,5,9.24,8.78,2024-09-01,8.78,0.61,9.39,7%,1.0,Lazada,0,N,CUST0109
DOC000581,1,CAM-A-H-36G,Honey Almonds Mini 36g,7,1.37,3,9.59,9.3,2024-05-12,9.3,0.65,9.95,7%,1.0,Shopify,0,N,CUST0005
DOC000582,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,2,5.01,9,10.02,9.12,2023-11-09,9.12,0.64,9.76,7%,1.0,Lazada,0,N,CUST0132
DOC000583,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,6,5.68,13,34.08,29.65,2023-12-23,29.65,2.08,31.73,7%,1.0,Lazada,0,Y,CUST0038
DOC000584,1,CAM-DF&-C-200G,Dried Cranberries,10,5.0,14,50.0,43.0,2024-10-04,43.0,3.01,46.01,7%,1.0,Shopee,0,Y,CUST0180
DOC000585,1,CAM-C-S-1KG,Satay Cashews 1kg,2,28.77,3,57.54,55.81,2024-08-18,55.81,3.91,59.72,7%,1.0,Shopify,0,N,CUST0155
DOC000586,1,CAM-A-H-36G,Honey Almonds Mini 36g,3,1.43,12,4.29,3.78,2024-02-21,3.78,0.26,4.04,7%,1.0,Lazada,0,Y,CUST0142
DOC000587,1,CAM-C-H-1KG,Honey Cashews 1kg,4,24.54,5,98.16,93.25,2024-10-14,93.25,6.53,99.78,7%,1.0,Shopify,0,N,CUST0121
DOC000588,1,CAM-C-H-1KG,Honey Cashews 1kg,7,25.04,15,175.28,148.99,2024-12-22,148.99,10.43,159.42,7%,1.0,Lazada,0,Y,CUST0053
DOC000589,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,29.45,12,58.9,51.83,2024-02-27,51.83,3.63,55.46,7%,1.0,Shopee,1,Y,CUST0034
DOC000590,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,1,5.74,13,5.74,4.99,2024-12-18,4.99,0.35,5.34,7%,1.0,Shopee,0,Y,CUST0002
DOC000591,1,CAM-A-NB-36G,Natural Baked Almonds Mini 36g,1,1.37,14,1.37,1.18,2023-02-06,1.18,0.08,1.26,7%,1.0,Shopee,0,Y,CUST0187
DOC000592,1,CAM-C-H-1KG,Honey Cashews 1kg,2,29.66,7,59.32,55.17,2024-08-08,55.17,3.86,59.03,7%,1.0,Lazada,0,N,CUST0199
DOC000593,1,CAM-C-R-135G,Roasted Cashews,3,4.63,5,13.89,13.2,2023-02-14,13.2,0.92,14.12,7%,1.0,Shopify,0,N,CUST0172
DOC000594,1,CAM-NB-AB-350G,Camel Organic Almond Butter,8,9.19,14,73.52,63.23,2023-05-26,63.23,4.43,67.66,7%,1.0,Shopee,0,Y,CUST0058
DOC000595,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.38,10,2.76,2.48,2023-10-06,2.48,0.17,2.65,7%,1.0,Shopee,0,Y,CUST0178
DOC000596,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,3,26.83,9,80.49,73.25,2023-02-23,73.25,5.13,78.38,7%,1.0,Lazada,0,N,CUST0036
DOC000597,1,CAM-P-S-135G,Sugar Peanuts,6,1.56,12,9.36,8.24,2024-05-20,8.24,0.58,8.82,7%,1.0,Shopee,0,Y,CUST0178
DOC000598,1,CAM-C-H-135G,Honey Cashews,3,5.49,3,16.47,15.98,2023-10-15,15.98,1.12,17.1,7%,1.0,Shopify,0,N,CUST0124
DOC000599,1,CAM-A-NB-135G,Natural Baked Almonds,2,4.55,11,9.1,8.1,2023-04-07,8.1,0.57,8.67,7%,1.0,Shopee,0,Y,CUST0192
DOC000600,1,CAM-C-NB-135G,Natural Baked Cashews,1,4.71,6,4.71,4.43,2023-05-20,4.43,0.31,4.74,7%,1.0,Lazada,0,N,CUST0089
DOC000601,1,CAM-A-H-36G,Honey Almonds Mini 36g,5,1.39,15,6.95,5.91,2023-01-12,5.91,0.41,6.32,7%,1.0,Shopee,0,Y,CUST0012
DOC000602,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,5.03,6,5.03,4.73,2024-12-13,4.73,0.33,5.06,7%,1.0,Shopify,0,N,CUST0059
DOC000603,1,CAM-MN-CM-135G,Natural Cocktail Mix,2,5.87,10,11.74,10.57,2024-12-09,10.57,0.74,11.31,7%,1.0,Shopee,1,Y,CUST0031
DOC000604,1,CAM-A-S-1KG,Smoked Almonds 1kg,1,20.13,9,20.13,18.32,2023-07-12,18.32,1.28,19.6,7%,1.0,Lazada,0,N,CUST0119
DOC000605,1,CAM-C-H-135G,Honey Cashews,4,5.48,12,21.92,19.29,2024-05-04,19.29,1.35,20.64,7%,1.0,Shopee,0,Y,CUST0041
DOC000606,1,CAM-A-BS-1KG,Almonds Blanched Sliced 1kg,1,23.44,13,23.44,20.39,2023-01-22,20.39,1.43,21.82,7%,1.0,Shopee,0,Y,CUST0120
DOC000607,1,CAM-MN-BD-135G,Natural Nutty Berries Delight,3,5.54,11,16.62,14.79,2023-10-16,14.79,1.04,15.83,7%,1.0,Shopee,0,Y,CUST0024
DOC000608,1,CAM-NB-AB-350G,Camel Organic Almond Butter,3,9.1,10,27.3,24.57,2024-04-13,24.57,1.72,26.29,7%,1.0,Shopee,0,Y,CUST0151
DOC000609,1,CAM-C-NB-135G,Natural Baked Cashews,2,5.12,8,10.24,9.42,2023-06-01,9.42,0.66,10.08,7%,1.0,Lazada,0,N,CUST0107
DOC000610,1,CAM-C-R-135G,Roasted Cashews,5,5.16,13,25.8,22.45,2023-10-06,22.45,1.57,24.02,7%,1.0,Shopee,0,Y,CUST0060
DOC000611,1,CAM-C-S-135G,Satay Cashews,3,5.55,7,16.65,15.48,2023-03-04,15.48,1.08,16.56,7%,1.0,Lazada,0,N,CUST0200
DOC000612,1,CAM-C-R-135G,Roasted Cashews,5,4.74,14,23.7,20.38,2023-03-22,20.38,1.43,21.81,7%,1.0,Shopee,0,Y,CUST0136
DOC000613,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,1,29.4,6,29.4,27.64,2023-01-03,27.64,1.93,29.57,7%,1.0,Lazada,0,N,CUST0167
DOC000614,1,CAM-NB-WB-350G,Camel Organic Walnut Butter,3,10.76,0,32.28,32.28,2023-10-06,32.28,2.26,34.54,7%,1.0,Shopify,0,N,CUST0106
DOC000615,1,CAM-MN-FM-135G,Fancy Mixed Nuts,3,5.15,15,15.45,13.13,2023-11-28,13.13,0.92,14.05,7%,1.0,Shopee,0,Y,CUST0188
DOC000616,1,CAM-A-H-135G,Honey Almonds,9,5.15,14,46.35,39.86,2023-11-26,39.86,2.79,42.65,7%,1.0,Shopee,0,Y,CUST0052
DOC000617,1,CAM-A-BS-1KG,Almonds Blanched Sliced 1kg,3,23.19,6,69.57,65.4,2023-08-17,65.4,4.58,69.98,7%,1.0,Lazada,0,N,CUST0094
DOC000618,1,CAM-C-R-1KG,Roasted Cashews 1kg,4,24.37,15,97.48,82.86,2024-01-16,82.86,5.8,88.66,7%,1.0,Lazada,0,Y,CUST0087
DOC000619,1,CAM-C-R-135G,Roasted Cashews,1,5.01,11,5.01,4.46,2023-01-12,4.46,0.31,4.77,7%,1.0,Lazada,1,Y,CUST0198
DOC000620,1,CAM-MN-CM-135G,Natural Cocktail Mix,2,5.33,3,10.66,10.34,2023-11-19,10.34,0.72,11.06,7%,1.0,Shopify,0,N,CUST0075
DOC000621,1,CAM-P-B-400G,Baked Pistachios 400g,3,10.1,12,30.3,26.66,2024-02-22,26.66,1.87,28.53,7%,1.0,Shopee,1,Y,CUST0049
DOC000622,1,CAM-A-S-1KG,Smoked Almonds 1kg,3,20.0,12,60.0,52.8,2024-07-25,52.8,3.7,56.5,7%,1.0,Shopee,0,Y,CUST0169
DOC000623,1,CAM-C-H-135G,Honey Cashews,4,4.94,13,19.76,17.19,2024-12-28,17.19,1.2,18.39,7%,1.0,Lazada,0,Y,CUST0036
DOC000624,1,CAM-MN-FM-135G,Fancy Mixed Nuts,2,5.31,15,10.62,9.03,2023-12-04,9.03,0.63,9.66,7%,1.0,Shopee,0,Y,CUST0012
DOC000625,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,5.03,14,5.03,4.33,2024-12-04,4.33,0.3,4.63,7%,1.0,Shopee,0,Y,CUST0073
DOC000626,1,CAM-MN-FM-135G,Fancy Mixed Nuts,2,4.88,7,9.76,9.08,2024-11-23,9.08,0.64,9.72,7%,1.0,Lazada,0,N,CUST0005
DOC000627,1,CAM-A-R-1KG,Raw Almonds 1kg,2,23.84,13,47.68,41.48,2023-03-11,41.48,2.9,44.38,7%,1.0,Shopee,0,Y,CUST0091
DOC000628,1,CAM-P-A-135G,Peanut Anchovies,3,2.03,13,6.09,5.3,2024-01-01,5.3,0.37,5.67,7%,1.0,Shopee,0,Y,CUST0065
DOC000629,1,CAM-C-NB-135G,Natural Baked Cashews,3,4.9,14,14.7,12.64,2023-05-29,12.64,0.88,13.52,7%,1.0,Shopee,1,Y,CUST0179
DOC000630,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,5.37,15,5.37,4.56,2024-08-23,4.56,0.32,4.88,7%,1.0,Shopee,0,Y,CUST0001
DOC000631,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.37,6,2.74,2.58,2024-06-11,2.58,0.18,2.76,7%,1.0,Lazada,0,N,CUST0062
DOC000632,1,CAM-MN-FM-135G,Fancy Mixed Nuts,4,5.25,13,21.0,18.27,2024-12-19,18.27,1.28,19.55,7%,1.0,Shopee,0,Y,CUST0194
DOC000633,1,CAM-BG&-WP-135G,Green Peas Wasabi,2,2.06,0,4.12,4.12,2023-01-28,4.12,0.29,4.41,7%,1.0,Shopify,0,N,CUST0196
DOC000634,1,CAM-DF&-M-200G,Dried Mango,4,4.83,10,19.32,17.39,2023-12-01,17.39,1.22,18.61,7%,1.0,Lazada,0,Y,CUST0107
DOC000635,1,CAM-C-H-135G,Honey Cashews,1,5.14,10,5.14,4.63,2023-10-29,4.63,0.32,4.95,7%,1.0,Shopee,0,Y,CUST0166
DOC000636,1,CAM-C-R-135G,Roasted Cashews,7,4.85,2,33.95,33.27,2024-03-25,33.27,2.33,35.6,7%,1.0,Shopify,0,N,CUST0139
DOC000637,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,25.84,10,51.68,46.51,2024-01-15,46.51,3.26,49.77,7%,1.0,Shopee,0,Y,CUST0060
DOC000638,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,29.35,12,58.7,51.66,2024-02-02,51.66,3.62,55.28,7%,1.0,Lazada,0,Y,CUST0194
DOC000639,1,CAM-A-H-36G,Honey Almonds Mini 36g,6,1.38,15,8.28,7.04,2023-03-14,7.04,0.49,7.53,7%,1.0,Shopee,0,Y,CUST0091
DOC000640,1,CAM-MN-CM-135G,Natural Cocktail Mix,6,5.47,2,32.82,32.16,2024-12-04,32.16,2.25,34.41,7%,1.0,Shopify,0,N,CUST0072
DOC000641,1,CAM-C-NB-135G,Natural Baked Cashews,1,4.79,15,4.79,4.07,2023-09-23,4.07,0.28,4.35,7%,1.0,Shopee,0,Y,CUST0024
DOC000642,1,CAM-P-C-135G,Cracker Peanuts,5,1.68,10,8.4,7.56,2023-11-13,7.56,0.53,8.09,7%,1.0,Shopee,0,Y,CUST0089
DOC000643,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,7,24.85,13,173.95,151.34,2023-06-02,151.34,10.59,161.93,7%,1.0,Shopee,0,Y,CUST0106
DOC000644,1,CAM-P-GS-135G,Garlic Shandong Groundnuts,1,1.89,1,1.89,1.87,2023-09-03,1.87,0.13,2.0,7%,1.0,Shopify,0,N,CUST0051
DOC000645,1,CAM-A-NB-135G,Natural Baked Almonds,3,5.15,8,15.45,14.21,2023-11-06,14.21,0.99,15.2,7%,1.0,Lazada,1,N,CUST0150
DOC000646,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,1,27.21,8,27.21,25.03,2023-07-21,25.03,1.75,26.78,7%,1.0,Lazada,0,N,CUST0041
DOC000647,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,5.53,15,5.53,4.7,2023-12-11,4.7,0.33,5.03,7%,1.0,Shopee,0,Y,CUST0005
DOC000648,1,CAM-P-GS-135G,Garlic Shandong Groundnuts,3,1.98,5,5.94,5.64,2024-09-29,5.64,0.39,6.03,7%,1.0,Shopify,0,N,CUST0140
DOC000649,1,CAM-MN-FM-135G,Fancy Mixed Nuts,2,5.41,10,10.82,9.74,2024-10-09,9.74,0.68,10.42,7%,1.0,Shopee,0,Y,CUST0182
DOC000650,1,CAM-C-R-135G,Roasted Cashews,4,4.88,8,19.52,17.96,2024-02-22,17.96,1.26,19.22,7%,1.0,Lazada,0,N,CUST0051
DOC000651,1,CAM-P-C-135G,Cracker Peanuts,2,1.74,10,3.48,3.13,2024-01-25,3.13,0.22,3.35,7%,1.0,Lazada,0,Y,CUST0016
DOC000652,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,1,29.55,9,29.55,26.89,2024-02-17,26.89,1.88,28.77,7%,1.0,Lazada,0,N,CUST0138
DOC000653,1,CAM-C-H-1KG,Honey Cashews 1kg,2,28.61,9,57.22,52.07,2024-01-03,52.07,3.64,55.71,7%,1.0,Lazada,0,N,CUST0130
DOC000654,1,CAM-C-R-1KG,Roasted Cashews 1kg,4,29.69,3,118.76,115.2,2023-02-02,115.2,8.06,123.26,7%,1.0,Shopify,0,N,CUST0097
DOC000655,1,CAM-C-R-1KG,Roasted Cashews 1kg,3,27.06,0,81.18,81.18,2023-02-17,81.18,5.68,86.86,7%,1.0,Shopify,0,N,CUST0171
DOC000656,1,CAM-C-NB-135G,Natural Baked Cashews,5,4.85,12,24.25,21.34,2023-12-22,21.34,1.49,22.83,7%,1.0,Shopee,0,Y,CUST0097
DOC000657,1,CAM-NB-AB-350G,Camel Organic Almond Butter,4,10.02,15,40.08,34.07,2023-02-04,34.07,2.38,36.45,7%,1.0,Shopee,1,Y,CUST0144
DOC000658,1,CAM-A-BS-1KG,Almonds Blanched Sliced 1kg,3,20.53,11,61.59,54.82,2023-03-02,54.82,3.84,58.66,7%,1.0,Shopee,0,Y,CUST0065
DOC000659,1,CAM-A-R-1KG,Raw Almonds 1kg,1,21.19,11,21.19,18.86,2024-02-28,18.86,1.32,20.18,7%,1.0,Shopee,0,Y,CUST0168
DOC000660,1,CAM-MN-CM-135G,Natural Cocktail Mix,4,5.61,13,22.44,19.52,2024-12-06,19.52,1.37,20.89,7%,1.0,Shopee,0,Y,CUST0049
DOC000661,1,CAM-A-H-135G,Honey Almonds,8,5.24,5,41.92,39.82,2023-01-17,39.82,2.79,42.61,7%,1.0,Shopify,0,N,CUST0018
DOC000662,1,CAM-C-R-1KG,Roasted Cashews 1kg,1,28.46,9,28.46,25.9,2024-02-17,25.9,1.81,27.71,7%,1.0,Lazada,0,N,CUST0083
DOC000663,1,CAM-MN-CM-135G,Natural Cocktail Mix,2,5.86,13,11.72,10.2,2023-12-10,10.2,0.71,10.91,7%,1.0,Shopee,0,Y,CUST0184
